HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Hertha,D,142,74,61,23,74,103,15,14,0,1,4,1,1,3,2,4,1.14,8.0,15.0
Dortmund,Augsburg,H,131,76,55,31,66,81,6,13,0,2,5,1,2,3,0,3,1.2,7.0,13.0
Freiburg,Mainz,H,93,98,35,31,65,111,6,21,1,2,4,2,2,0,1,6,2.25,3.25,3.4
Leverkusen,Paderborn,H,154,81,82,38,81,75,12,13,1,0,3,1,4,2,1,4,1.25,6.0,12.0
Werder Bremen,Fortuna Dusseldorf,A,112,93,48,28,75,115,9,27,0,0,1,1,2,2,4,5,1.75,3.75,4.75
Wolfsburg,FC Koln,H,96,89,42,42,84,131,8,20,0,1,2,1,3,1,2,6,1.95,3.5,4.0
M'gladbach,Schalke 04,D,121,76,41,29,102,83,21,15,1,0,6,4,1,1,1,2,2.0,3.5,3.75
Ein Frankfurt,Hoffenheim,H,142,78,64,31,106,81,17,14,0,0,4,3,3,2,1,2,2.25,3.6,3.0
Union Berlin,RB Leipzig,A,108,106,30,33,129,83,11,12,1,1,5,5,0,1,3,1,5.0,3.8,1.7
FC Koln,Dortmund,A,75,67,34,36,86,57,17,11,2,1,1,2,1,3,4,2,6.5,4.75,1.44
Augsburg,Union Berlin,D,82,68,21,17,83,87,17,13,0,2,3,1,2,1,2,4,2.2,3.4,3.3
Fortuna Dusseldorf,Leverkusen,A,81,83,28,14,58,67,9,11,0,1,2,4,1,0,3,2,4.75,4.0,1.7
Hoffenheim,Werder Bremen,H,104,92,40,25,73,81,9,19,0,2,3,2,1,3,3,2,1.85,3.6,4.2
Mainz,M'gladbach,A,104,77,35,31,85,72,10,10,0,0,3,4,0,0,3,2,2.9,3.4,2.4
Paderborn,Freiburg,A,84,79,45,20,98,72,16,14,0,1,1,3,0,2,6,2,2.37,3.5,2.9
Schalke 04,Bayern Munich,A,94,108,36,33,75,56,12,14,0,2,3,3,3,2,1,2,9.0,4.75,1.36
RB Leipzig,Ein Frankfurt,H,119,94,42,39,77,67,11,11,0,3,4,1,2,0,1,5,1.5,4.5,6.0
Hertha,Wolfsburg,A,63,73,18,27,87,109,16,18,1,1,2,3,0,2,4,2,2.4,3.4,2.9
M'gladbach,RB Leipzig,A,121,106,41,33,102,83,21,12,1,1,6,5,1,1,1,1,3.2,4.0,2.05
Bayern Munich,Mainz,H,142,98,61,31,74,111,15,21,0,2,4,2,1,0,2,6,1.08,11.0,26.0
Freiburg,FC Koln,A,93,89,35,42,65,131,6,20,1,1,4,1,2,1,1,6,2.37,3.5,3.0
Leverkusen,Hoffenheim,D,154,78,82,31,81,81,12,14,1,0,3,3,4,2,1,2,1.53,4.75,5.25
Schalke 04,Hertha,H,94,74,36,23,75,103,12,14,0,1,3,1,3,3,1,4,2.1,3.6,3.4
Wolfsburg,Paderborn,D,96,81,42,38,84,75,8,13,0,0,2,1,3,2,2,4,1.44,5.0,6.0
Union Berlin,Dortmund,H,108,67,30,36,129,57,11,11,1,1,5,2,0,3,3,2,10.0,5.75,1.28
Werder Bremen,Augsburg,H,112,76,48,31,75,81,9,13,0,2,1,1,2,3,4,3,1.72,4.0,4.5
Ein Frankfurt,Fortuna Dusseldorf,H,142,93,64,28,106,115,17,27,0,0,4,1,3,2,1,5,1.66,4.0,4.75
Fortuna Dusseldorf,Wolfsburg,D,81,73,28,27,58,109,9,18,0,1,2,3,1,2,3,2,3.1,3.5,2.25
Augsburg,Ein Frankfurt,H,82,94,21,39,83,67,17,11,0,3,3,1,2,0,2,5,3.5,3.6,2.05
Dortmund,Leverkusen,H,131,83,55,14,66,67,6,11,0,1,5,4,2,0,0,2,1.8,4.0,4.0
FC Koln,M'gladbach,A,75,77,34,31,86,72,17,10,2,0,1,4,1,0,4,2,2.5,3.5,2.7
Mainz,Hertha,H,104,74,35,23,85,103,10,14,0,1,3,1,0,3,3,4,2.3,3.4,3.1
Union Berlin,Werder Bremen,A,108,92,30,25,129,81,11,19,1,2,5,2,0,3,3,2,2.87,3.5,2.4
RB Leipzig,Bayern Munich,D,119,108,42,33,77,56,11,14,0,2,4,3,2,2,1,2,3.8,4.0,1.85
Hoffenheim,Freiburg,A,104,79,40,20,73,72,9,14,0,1,3,3,1,2,3,2,1.7,4.2,4.5
Paderborn,Schalke 04,A,84,76,45,29,98,83,16,15,0,0,1,4,0,1,6,2,3.1,3.5,2.25
Schalke 04,Mainz,H,94,98,36,31,75,111,12,21,0,2,3,2,3,0,1,6,1.61,4.2,5.0
Bayern Munich,FC Koln,H,142,89,61,42,74,131,15,20,0,1,4,1,1,1,2,6,1.11,10.0,21.0
Freiburg,Augsburg,D,93,76,35,31,65,81,6,13,1,2,4,1,2,3,1,3,1.9,3.75,3.8
Hertha,Paderborn,H,63,81,18,38,87,75,16,13,1,0,2,1,0,2,4,4,1.7,4.0,4.75
Leverkusen,Union Berlin,H,154,68,82,17,81,87,12,13,1,2,3,1,4,1,1,4,1.36,5.5,7.5
Werder Bremen,RB Leipzig,A,112,106,48,33,75,83,9,12,0,1,1,5,2,1,4,1,4.2,4.2,1.72
M'gladbach,Fortuna Dusseldorf,H,121,93,41,28,102,115,21,27,1,0,6,1,1,2,1,5,1.66,4.0,5.0
Ein Frankfurt,Dortmund,D,142,67,64,36,106,57,17,11,0,1,4,2,3,3,1,2,4.33,4.0,1.75
Wolfsburg,Hoffenheim,D,96,78,42,31,84,81,8,14,0,0,2,3,3,2,2,2,1.95,3.75,3.75
Union Berlin,Ein Frankfurt,A,108,94,30,39,129,67,11,11,1,3,5,1,0,0,3,5,3.0,3.5,2.3
Augsburg,Leverkusen,A,82,83,21,14,83,67,17,11,0,1,3,4,2,0,2,2,5.0,4.5,1.6
